 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.1.64:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [30/Nov/2024 14:50:44] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 14:50:48] "GET /api/data?date=2024-09-12&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 14:50:50] "GET /api/data?date=2024-09-11&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 14:50:50] "GET /api/data?date=2024-09-10&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 14:50:51] "GET /api/data?date=2024-09-17&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 14:50:54] "GET /api/data?date=2024-10-16&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 14:50:55] "GET /api/data?date=2024-10-17&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 14:50:56] "GET /api/data?date=2024-10-18&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 14:52:59] "GET /api/data?date=2024-10-26&index=Euro+Stoxx+50 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 14:54:14] "GET /api/data?date=2024-10-26&index=Euro+Stoxx+50 HTTP/1.1" 200 -
192.168.1.64 - - [30/Nov/2024 14:54:23] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 15:42:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 15:42:24] "GET /api/data?date=2024-11-13&index=S%26P%20500 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 15:42:27] "GET /api/data?date=2024-10-10&index=S%26P%20500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 16:25:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 16:31:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 16:31:07] "GET /api/data?date=2024-10-10&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 16:32:58] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 16:32:58] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 16:33:08] "GET /api/data?date=2024-10-16&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 16:36:25] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 16:36:28] "GET /api/data?date=2024-11-30&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 16:36:30] "GET /api/data?date=2024-10-16&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 16:36:39] "GET /api/data?date=2024-10-12&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 16:36:42] "GET /api/data?date=2024-10-12&index=S%26P%20500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 16:51:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 16:51:31] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 16:51:43] "GET /api/data?date=2024-11-30&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 16:51:47] "GET /api/data?date=2024-11-30&index=S%26P%20500 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:11:25] "GET /api/data?date=2024-10-26&index=Euro+Stoxx+50 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:12:31] "GET /api/data?date=2024-10-26&index=Euro+Stoxx+50 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:20:06] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:28:36] "GET / HTTP/1.1" 200 -
